Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,33,28.5,3.78,36,1372,1253,136,312,61,9,28,129,17,9,89,278,.249,.304,.379,.683,88,475,23,13,7,8,5,258
ATL,28,27.4,3.25,32,1196,1084,104,255,44,6,34,98,19,6,89,290,.235,.295,.381,.676,84,413,21,7,7,9,4,230
BAL,30,28.1,4.33,30,1149,1052,130,279,55,6,23,127,12,3,70,223,.265,.316,.394,.710,96,415,23,12,5,10,4,213
BOS,29,30.5,4.15,33,1295,1123,137,275,68,3,27,128,11,9,144,274,.245,.338,.383,.721,99,430,33,18,2,8,8,259
CHC,31,27.2,3.68,31,1179,1056,114,241,43,4,25,108,22,8,96,285,.228,.295,.348,.643,75,367,19,8,11,8,7,210
CHW,34,27.8,5.03,34,1332,1195,171,311,67,6,36,159,21,9,108,310,.260,.325,.417,.742,102,498,24,12,6,11,6,233
CIN,29,29.1,3.84,32,1221,1080,123,272,56,3,27,116,30,10,103,239,.252,.322,.384,.706,93,415,18,13,15,9,8,240
CLE,32,29.3,3.85,33,1224,1078,127,249,54,5,23,119,24,7,121,211,.231,.312,.354,.666,92,382,27,10,6,9,3,233
COL,33,27.6,5.89,35,1359,1226,206,376,83,7,49,199,19,7,93,226,.307,.354,.506,.860,121,620,31,8,13,19,8,228
DET,30,30.5,5.11,28,1076,968,143,279,60,4,24,139,25,10,80,177,.288,.342,.433,.775,112,419,19,8,4,16,8,198
HOU,33,25.9,3.39,33,1223,1100,112,239,46,8,33,105,22,8,98,295,.217,.288,.364,.652,81,400,23,14,4,7,1,214
KCR,32,27.9,3.88,32,1205,1097,124,277,69,6,14,116,24,8,84,186,.253,.306,.365,.671,84,400,24,5,9,10,3,214
LAA,35,29.9,5.19,32,1273,1140,166,291,57,11,40,160,23,4,103,262,.255,.323,.430,.753,113,490,21,15,7,8,9,231
LAD,35,29.8,4.26,34,1343,1204,145,310,68,8,34,139,37,12,113,294,.257,.323,.412,.735,107,496,27,8,10,8,6,249
MIA,28,27.3,4.73,33,1260,1109,156,300,57,7,33,150,9,4,110,286,.271,.338,.424,.762,108,470,16,9,21,10,10,243
MIL,29,28.7,4.03,34,1297,1176,137,290,57,6,36,129,21,12,84,266,.247,.302,.397,.699,91,467,25,13,17,7,7,224
MIN,33,28.4,4.90,31,1248,1079,152,263,59,4,24,138,24,4,144,287,.244,.335,.373,.708,99,402,19,9,6,10,5,250
NYM,31,29.0,4.09,32,1235,1090,131,249,51,4,20,124,28,8,111,285,.228,.304,.338,.642,84,368,17,12,13,9,8,221
NYY,35,33.1,4.12,32,1233,1117,132,292,63,4,29,122,24,3,92,241,.261,.322,.403,.725,100,450,26,12,4,8,6,240
OAK,28,29.6,4.85,33,1327,1152,160,287,57,8,30,147,21,2,151,241,.249,.340,.391,.731,110,450,26,12,3,8,6,260
PHI,31,31.2,3.97,31,1182,1074,123,273,52,7,23,115,19,7,91,250,.254,.314,.380,.694,91,408,13,4,8,4,11,229
PIT,32,27.5,3.94,33,1298,1149,130,271,41,9,31,123,21,4,113,270,.236,.314,.368,.682,94,423,28,21,9,6,7,243
SDP,29,28.5,2.68,34,1221,1125,91,241,57,7,19,84,21,8,74,281,.214,.264,.328,.592,71,369,30,4,13,4,1,204
SEA,33,27.3,4.32,31,1173,1069,134,253,55,7,25,126,12,11,79,269,.237,.297,.371,.669,93,397,13,16,2,6,7,201
SFG,27,28.8,4.27,33,1250,1110,141,269,46,6,41,138,17,7,103,270,.242,.311,.405,.716,107,450,29,11,17,9,13,211
STL,30,28.8,3.53,34,1285,1158,120,284,61,6,20,116,9,4,102,253,.245,.310,.360,.670,85,417,26,9,10,6,6,247
TBR,31,29.6,4.27,33,1302,1143,141,290,66,3,29,133,12,4,128,227,.254,.332,.393,.725,105,449,33,12,7,12,6,258
TEX,34,29.5,4.21,33,1259,1101,139,291,58,6,19,129,28,10,116,226,.264,.339,.380,.719,99,418,37,15,15,12,14,238
TOR,35,29.0,4.73,33,1286,1148,156,293,59,5,41,148,13,4,118,243,.255,.328,.422,.751,106,485,23,9,7,4,3,242
WSN,32,28.6,4.24,33,1277,1143,140,295,56,8,34,127,15,3,108,289,.258,.327,.410,.737,104,469,17,11,10,5,6,258
LgAvg,31,28.8,4.21,33,1253,1120,137,280,58,6,29,130,20,7,104,258,.250,.318,.390,.708,97,437,24,11,9,9,7,233
