Team, W, L, PCT, GB, CONF, DIV, HOME, ROAD, L10, STRK
Heat, 34, 13, .723, 0.0, 22-10, 9-2, 20-4, 14-9, 7-3, W2
Hawks, 25, 21, .543, 8.5, 17-11, 6-5, 16-7, 9-14, 6-4, W2
Wizards, 24, 23, .511, 10.0, 17-12, 4-2, 12-11, 12-12, 6-4, W2
Bobcats, 21, 28, .429, 14.0, 15-16, 1-7, 11-13, 10-15, 5-5, L1
Magic, 13, 37, .260, 22.5, 10-21, 3-7, 10-14, 3-23, 3-7, L2
Raptors, 26, 22, .542, 0.0, 17-12, 8-2, 12-10, 14-12, 6-4, W1
Nets, 21, 25, .457, 4.0, 14-16, 6-4, 13-11, 8-14, 6-4, W1
Knicks, 19, 29, .396, 7.0, 15-18, 3-6, 11-16, 8-13, 4-6, L2
Celtics, 16, 33, .327, 10.5, 13-17, 3-5, 10-15, 6-18, 3-7, W1
76ers, 15, 34, .306, 11.5, 10-21, 3-6, 8-16, 7-18, 2-8, L3
Pacers, 37, 10, .787, 0.0, 24-5, 6-2, 23-2, 14-8, 7-3, W2
Bulls, 23, 24, .489, 14.0, 18-12, 7-4, 13-10, 10-14, 5-5, L2
Pistons, 19, 28, .404, 18.0, 17-13, 5-3, 9-15, 10-13, 4-6, L1
Cavaliers, 16, 32, .333, 21.5, 10-20, 3-8, 11-12, 5-20, 2-8, L5
Bucks, 9, 39, .188, 28.5, 8-23, 3-7, 5-18, 4-21, 2-8, W1
